iter	Passed	Remaining
576	142653	104579
577	142912	104341
578	143170	104101
579	143418	103854
580	143669	103610
581	143926	103369
582	144152	103107
583	144409	102867
584	144629	102600
585	144871	102349
586	145121	102104
587	145354	101847
588	145647	101631
589	145906	101392
590	146163	101152
591	146421	100912
592	146664	100661
593	146827	100356
594	147068	100105
595	147321	99862
596	147589	99629
597	147823	99372
598	148064	99121
599	148313	98875
600	148555	98625
601	148801	98377
602	149005	98101
603	149235	97842
604	149484	97597
605	149753	97364
606	150017	97128
607	150266	96882
608	150526	96643
609	150803	96415
610	151085	96190
611	151355	95957
612	151597	95706
613	151863	95470
614	152105	95220
615	152360	94978
616	152595	94722
617	152834	94470
618	153074	94218
619	153297	93956
620	153554	93715
621	153804	93469
622	154003	93193
623	154247	92943
624	154494	92696
625	154723	92438
626	154945	92176
627	155196	91931
628	155428	91675
629	155699	91442
630	155928	91184
631	156147	90921
632	156380	90666
633	156613	90410
634	156873	90171
635	157115	89921
636	157370	89679
637	157615	89430
638	157851	89177
639	158083	88922
640	158315	88666
641	158557	88416
642	158800	88167
643	159035	87913
644	159292	87672
645	159538	87425
646	159781	87176
647	160033	86931
648	160273	86681
649	160508	86427
650	160753	86179
651	161023	85944
652	161287	85707
653	161545	85466
654	161881	85265
655	162213	85063
656	162538	84856
657	162858	84646
658	163150	84422
659	163429	84190
660	163674	83941
661	163909	83687
662	164179	83451
663	164401	83191
664	164669	82953
665	164915	82705
666	165142	82447
667	165390	82199
668	165612	81939
669	165841	81683
670	166078	81430
671	166334	81187
672	166585	80941
673	166814	80684
674	167100	80455
675	167329	80199
676	167577	79952
677	167834	79708
678	168032	79437
679	168290	79195
680	168570	78963
681	168833	78722
682	169127	78496
683	169368	78246
684	169662	78020
685	169893	77764
686	170102	77499
687	170381	77266
688	170648	77027
689	170889	76776
690	171119	76520
691	171368	76273
692	171664	76047
693	171964	75822
694	172254	75593
695	172513	75350
696	172802	75120
697	173093	74891
698	173380	74660
699	173642	74418
700	173953	74197
701	174275	73980
702	174570	73751
703	174860	73520
704	175107	73271
705	175344	73018
706	175563	72758
707	175814	72511
708	176055	72259
709	176363	72035
710	176596	71781
711	176851	71535
712	177096	71285
713	177393	71056
714	177681	70824
715	177931	70576
716	178183	70329
717	178438	70083
718	178752	69860
719	179042	69627
720	179297	69381
721	179528	69126
722	179760	68870
723	180027	68629
724	180284	68383
725	180504	68124
726	180751	67875
727	180967	67614
728	181203	67360
729	181444	67109
730	181679	66856
731	181927	66607
732	182125	66340
733	182379	66093
734	182657	65856
735	182936	65618
736	183137	65353
737	183414	65114
738	183613	64848
739	183845	64594
740	184062	64335
741	184306	64085
742	184567	63841
743	184859	63607
744	185065	63344
745	185309	63094
746	185537	62839
747	185724	62570
748	185940	62311
749	186188	62062
750	186464	61823
751	186736	61583
752	187042	61353
753	187257	61094
754	187480	60838
755	187702	60581
756	187915	60321
757	188135	60064
758	188362	59809
759	188613	59562
760	188822	59301
761	189028	59040
762	189301	58800
763	189584	58562
764	189873	58327
765	190116	58077
766	190416	57844
767	190707	57609
768	190986	57370
769	191236	57122
770	191457	56866
771	191687	56612
772	191982	56377
773	192265	56139
774	192524	55894
775	192764	55643
776	193015	55395
777	193255	55144
778	193481	54889
779	193711	54636
780	193951	54385
781	194201	54138
782	194452	53890
783	194688	53638
784	194983	53403
785	195284	53169
786	195508	52914
787	195776	52670
788	195998	52415
789	196264	52171
790	196477	51913
791	196746	51670
792	197015	51427
793	197220	51168
794	197473	50920
795	197693	50665
796	197943	50417
797	198222	50176
798	198456	49924
799	198728	49682
800	198958	49429
801	199222	49184
802	199473	48936
803	199714	48686
804	199951	48435
805	200235	48195
806	200461	47941
807	200736	47699
808	201047	47466
809	201404	47242
810	201676	46999
811	201907	46747
812	202220	46513
813	202495	46270
814	202757	46024
815	203018	45778
816	203247	45525
817	203459	45268
818	203648	45006
819	203892	44756
820	204161	44512
821	204397	44261
822	204612	44005
823	204829	43749
824	205064	43498
825	205288	43244
826	205491	42986
827	205710	42732
828	205943	42480
829	206167	42226
830	206391	41973
831	206670	41731
832	206892	41477
833	207102	41221
834	207328	40969
835	207552	40715
836	207783	40464
837	208018	40213
838	208256	39963
839	208502	39714
840	208737	39464
841	208997	39218
842	209242	38969
843	209453	38714
844	209647	38455
845	209902	38209
846	210125	37956
847	210378	37709
848	210583	37453
849	210817	37203
850	211033	36949
851	211255	36696
852	211480	36445
853	211719	36195
854	211956	35945
855	212184	35694
856	212424	35445
857	212663	35196
858	212908	34947
859	213178	34703
860	213504	34468
861	213851	34236
862	214097	33987
863	214327	33736
864	214530	33481
865	214772	33232
866	215002	32981
867	215236	32731
868	215453	32479
869	215755	32239
870	216014	31992
871	216225	31739
872	216432	31485
873	216708	31241
874	216960	30994
875	217196	30744
876	217455	30498
877	217706	30250
878	217960	30003
879	218205	29755
880	218446	29506
881	218653	29252
882	218888	29003
883	219131	28754
884	219445	28515
885	219690	28267
886	219920	28016
887	220105	27761
888	220327	27509
889	220605	27265
890	220883	27021
891	221142	26775
892	221412	26529
893	221710	26287
894	221990	26043
895	222258	25797
896	222482	25547
897	222692	25294
898	222927	25045
899	223155	24795
900	223384	24545
901	223565	24289
902	223779	24038
903	224044	23792
904	224303	23545
905	224572	23299
906	224871	23057
907	225144	22812
908	225384	22563
909	225608	22312
910	225858	22065
911	226102	21816
912	226396	21573
913	226696	21330
914	226950	21082
915	227205	20835
916	227480	20589
917	227728	20341
918	227993	20095
919	228236	19846
920	228533	19602
921	228752	19352
922	228985	19102
923	229233	18854
924	229466	18605
925	229720	18357
926	229936	18107
927	230162	17857
928	230406	17609
929	230635	17359
930	230871	17110
931	231100	16861
932	231344	16613
933	231578	16364
934	231819	16115
935	232079	15868
936	232288	15618
937	232544	15370
938	232806	15123
939	233072	14876
940	233341	14630
941	233583	14381
942	233831	14134
943	234082	13886
944	234338	13638
945	234627	13393
946	234851	13143
947	235093	12895
948	235366	12648
949	235665	12403
950	235963	12157
951	236257	11912
952	236427	11660
953	236675	11412
954	236935	11164
955	237239	10918
956	237531	10672
957	237817	10426
958	238006	10175
959	238261	9927
960	238504	9679
961	238762	9431
962	238987	9182
963	239272	8935
964	239527	8687
965	239771	8439
966	240010	8190
967	240270	7942
968	240561	7695
969	240836	7448
970	241105	7200
971	241379	6953
972	241674	6706
973	241965	6459
974	242245	6211
975	242474	5962
976	242738	5714
977	242993	5466
978	243250	5217
979	243563	4970
980	243870	4723
981	244166	4475
982	244399	4226
983	244682	3978
984	244894	3729
985	245119	3480
986	245365	3231
987	245570	2982
988	245846	2734
989	246077	2485
990	246282	2236
991	246519	1988
992	246767	1739
993	247026	1491
994	247266	1242
995	247532	994
996	247786	745
997	248007	497
998	248252	248
999	248477	0
